No,Number Per One Dimension,Gender,Size,Horizational Distance (CM),Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Width of shoulders,Horizontal distance between eyes and head posture device,Shoulder Posture ,Head Posture,Sensor 1,Sensor 2 ,Senor 3
188,8,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,702,615,701
189,9,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,694,602,712
190,10,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,698,8190,707
191,11,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,693,627,719
192,12,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,719,656,715
193,13,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,703,638,711
194,14,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,690,608,714
195,15,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,701,633,708
196,16,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,700,628,710
197,17,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,681,587,704
198,18,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,697,620,699
199,19,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,688,612,697
200,20,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,689,589,702
201,21,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,680,8190,695
202,22,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,685,628,697
203,23,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,675,624,698
204,24,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,686,590,697
205,25,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,683,603,699
206,26,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,695,609,708
207,27,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,685,592,688
208,28,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,704,599,697
209,29,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,703,8190,694
210,30,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,690,603,697
211,31,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,698,590,697
212,32,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,696,598,698
213,33,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,686,607,695
214,34,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,690,8190,694
215,35,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,697,599,693
216,36,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,701,8191,688
217,37,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,692,605,695
218,38,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,684,608,698
219,39,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,690,604,684
220,40,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,700,582,696
221,41,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,683,607,696
222,42,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,682,565,691
223,43,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,664,633,706
224,44,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,675,616,703
225,45,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,690,621,700
226,46,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,686,616,700
227,47,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,668,589,689
228,48,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,688,531,692
229,49,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,688,589,694
230,50,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,672,602,684
231,51,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,665,588,697
232,52,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,686,597,697
233,53,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,666,583,693
234,54,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,682,581,692
235,55,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,683,586,688
236,56,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,681,585,685
237,57,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,667,568,679
238,58,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,666,599,692
239,59,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,667,8190,690
240,60,Male,M,65,25.5,24.5,46.5,50,41,60,Round Shoulder,Neck Extension,662,624,701
241,1,Male,M,65,25.5,24.5,46.5,50,41,60,Acceptable Round Shoulder,Poking Chin (Extreme),637,506,676
242,2,Male,M,65,25.5,24.5,46.5,50,41,60,Acceptable Round Shoulder,Poking Chin (Extreme),640,510,680
