,No,Number Per One Dimension,Gender,Size,Width of shoulders,Vertical distance between shoulderes and table surface (shoulder normal),Vertical distance between shoulderes and table surface (round shoulder),Vertical distance between eye level and table surface,Vertical distance between Head posture device and table surface,Vertical distance between Chair and the ground,Horizational Distance (CM),Horizontal distance between eyes and head posture device,Shoulder Posture,Head Posture,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 4-2
1662,1663,43,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,878,840,870,741,-99
1663,1664,44,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,889,843,858,731,-112
1664,1665,45,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,886,830,860,729,-101
1665,1666,46,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,875,810,869,720,-90
1666,1667,47,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,882,855,867,733,-122
1667,1668,48,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,883,831,862,738,-93
1668,1669,49,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,874,855,867,721,-134
1669,1670,50,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,888,842,860,732,-110
1670,1671,51,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,896,852,867,722,-130
1671,1672,52,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,884,821,863,724,-97
1672,1673,53,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,893,822,865,727,-95
1673,1674,54,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,879,827,870,738,-89
1674,1675,55,Male,M,43,35,34,49,48,48,80,80,Round Shoulder,Neck Extension,885,825,859,739,-86
